Semester 1
1 1001  English for Communication I
2 1002  Engineering Mathematics I 
3 1003  Engineering Physics I 
4 1004  Engineering Chemistry I 
5 2005-1  Engineering Graphics
6 1009  Health & Physical Education
7 2008  Workshop Practice
8 1008  Computing Fundamentals
9 2007  Engineering Science Lab I
Semester 2
1 2001  English for Communication II
2 2002  Engineering Mathematics II 
3 2003  Engineering Physics II 
4 2004  Engineering Chemistry II 
5 2211  Basic Instrumentation Engineering
6 2005-2  Engineering Graphics
7 2008  Workshop Practice
8 2007  Engineering Science Lab II
9 2219  Basic Instrumentation Lab
10 2009  Life Skill
Semester 3
1 3211  Analog Circuits
2 3212  Digital Circuits
3 3214  Instrument Transducers
4 3213  Electrical & Electronic Instruments
5 3001  Environmental Science & Disaster Management
6 3219  Analog Circuits Lab
7 3217  Digital Circuits Lab
8 3218  Transducers and Measurements Lab
Semester 4
1 4213  Industrial Instruments I 
2 4212  Industrial Electronics & Control Devics
3 4211  Control Engineering
4 4214  Microcontroller and Interfacing 
5 4219  Electronics and Instruments Workshop
6 4217  Microcontroller & Interfacing Lab
7 4218  Indstrial Electronics Lab 
8 4009  Mini Project
Semester 5
1 5001  Industrial Management & Safety
2 5212  Process Control
3 5211  Industrial Instruments II 
4 5215  Power Plant Instrumentation
# 5214  Optical Instrumentation
# 5213  Advanced Microprocessors and Interfacing
5 5217  Process Control Lab 
6 5218  Industrial Instruments Lab 
7 5219  Calibration and Simulation Lab
8 5009  Industrial Training/Industrial Visit/Collaborative work
9 6009  Project & Seminar 
Semester 6
1 6213  Biomedical Engineering
2 6211  Advanced Process Control 
3 6212  Analytical Instrumentation
4 6214  Aircraft Instruments
# 6215  Instrumentation in Process Industries
# 6216  Robotics and Automation
5 6219  Advanced Process Control Lab
6 6218  Analytical & Biomedical Instruments
7 6009  Project & Seminar 
Semester 7
