Semester 1
1 1001  English for Communication I
2 1002  Engineering Mathematics I 
3 1003  Engineering Physics I 
4 1004  Engineering Chemistry I 
5 2005-1  Engineering Graphics
6 1009  Health & Physical Education
7 2008  Workshop Practice
8 1008  Computing Fundamentals
9 2007  Engineering Science Lab I
Semester 2
1 2001  English for Communication II
2 2002  Engineering Mathematics II 
3 2003  Engineering Physics II 
4 2004  Engineering Chemistry II 
5 2131  Programming in C
6 2005-2  Engineering Graphics
7 2008  Workshop Practice
8 2007  Engineering Science Lab II
9 2139  Programming in C Lab
10 2009  Life Skill
Semester 3
1 3261  Foundations of Computer Software
2 3262  Programming in Java
3 3263  Web Design
4 3132  Database Management System 
5 3001  Environmental Science & Disaster Management
6 3269  Web Design Lab
7 3268  Programming in Java Lab
8 3139  Database Management System Lab
Semester 4
1 4261  Project Management & Software Engineering
2 4262  Data Communication & Computer Networks
3 4263  Web Application Development 
4 4264  Foundations of Computer Hardware
5 4269  Web Application Development Lab
6 4268  Digital Computing Lab 
7 4267  Computer Hardware & Networking Lab
8 4266  Application Development Lab -I (GUI)
Semester 5
1 5001  Industrial Management & Safety
2 5261  Server & Network Administration
3 5262  Advanced Web Design 
4 5134  Cloud Computing
# 5135  Ethical Hacking
# 5263  Wireless & Adhoc Networks
5 5269  Server & Network Administration Lab
6 5268  Advanced Web Design Lab
7 5009  Industrial Training/Industrial Visit/Collaborative work
8 5267  Application Development - II(Web)
9 6009  Project & Seminar 
Semester 6
1 6261  Object Oriented Web Application Frameworks
2 6262  Information & Network Security
3 6263  Cross Platform Mobile Application Development
4 6135  Network Infrastructure Mangagement
# 6264  Human Computer Interaction
# 6265  E-Commerce & M-Commerce
5 6269  Object Oriented Web Application framework Lab
6 6268  Application Development - III(Mobile)
7 6009  Project & Seminar 
Semester 7
