Semester 1
1 1001  English for Communication I
2 1002  Engineering Mathematics I 
3 1003  Engineering Physics I 
4 1004  Engineering Chemistry I 
5 2005-1  Engineering Graphics
6 1009  Health & Physical Education
7 2008  Workshop Practice
8 1008  Computing Fundamentals
9 2007  Engineering Science Lab I
Semester 2
1 2001  English for Communication II
2 2002  Engineering Mathematics II 
3 2003  Engineering Physics II 
4 2004  Engineering Chemistry II 
5 2041  Basic Electronics
6 2005-2  Engineering Graphics
7 2008  Workshop Practice
8 2007  Engineering Science Lab II
9 2049  Basic Electronics Lab
10 2009  Life Skill
Semester 3
1 3043  Electrical Technology
2 3044  Electronic Devices & Circuits
3 3042  Digital Electronics
4 3041  Communication Engineering
5 3001  Environmental Science & Disaster Management
6 3047  Electronics Circuits Lab
7 3048  Digital Electronics Lab
8 3049  Analogue Communication Lab
Semester 4
1 4042  Linear Integrated Circuits
2 4041  Electronics Instruments & Measurements
3 4043  Microcontroller and Interfacing 
4 4044  Programming in C
5 4047  Linear Integrated Circuits Lab
6 4048  Microcontroller & Interfacing Lab
7 4049  Programming in C Lab
8 4009  Mini Project 
Semester 5
1 5001  Industrial Management & Safety
2 5041  Embedded System
3 5042  Industrial Electronics & PLC
4 5043  Control System
# 5044  Medical Electronics
# 5045  Optical Fibre Communication
5 5049  Embedded System Lab 
6 5048  Industrial Electronics & PLC Lab
7 5047  PCB & Spice Lab
8 5009  Industrial Training/Industrial Visit/Collaborative work
9 6009  Project & Seminar 
Semester 6
1 6042  Communication Systems
2 6043  Computer Hardware & Networking
3 6041  Advanced Microprocessors
4 6045  Radar and Navigation
# 6046  Television Engineering
# 6044  Digital Signal Processing
5 6049  Computer Hardware and Networking Lab
6 6048  HDL and Simulation Software Lab
7 6009  Project & Seminar 
Semester 7
